field_1,Village,District,Date_Completed,Depth_of_overburden,Total_Depth,Depth_drilled_in_bedrock,BH Depth_1,BH Depth_2,BH Depth_3,BH Depth_4,Yield_L/s_1,Yield_L/s_2,Yield_L/s_3,Yield_L/s_4,Lithology_1,Lithology_2,Static_Water_Level,Stabilized_discharge(L/s),Grid_E,Grid_N,Altitude_(m),Date_Lab,Ph,Electrical Conductivity (EC),Total dissolved solids,Turbidity,Colour,Alkalinity,Hardness,Chloride,Nitrate,Nitrite,Iron,Copper,Flouride,Sulphate,E.coli,Number,Suspended solids (total),Manganese,Total Coliforms,geometry
47,Naror Village,Karamoja,18-Nov-22,18,62,44,28-30,35-36,39-41,44-46,0.23,0.66,0.97,0.56,Clay,Quartzite,19.39,2.43,675456,211326,1129,9/12/2022,6.33,726.0,386.0,,,384.0,276.0,10.0,0.44,0.001,0.001,,0.37,,,,,0.001,9.0,POINT (675456 211326)
48,Ajokolup Village,Karamoja,5-Jul-22,10,70,60,27-28,39-40,43-44,53,0.69,0.53,0.5,0.42,Clay,Granite,10.77,1.56,671789,219336,1146,3/11/2022,7.4,1010.0,584.0,3.06,0.0,,384.0,10.0,0.06,0.0,0.03,,0.0,38.0,0.0,,0.0,1.0,10.0,POINT (671789 219336)
49,Kogulepo Village,Karamoja,1-Dec-21,2,124,122,44,56-65,88,102-114,,,,,,Granite,27.9,0.67472222,659320,216206,1099,9/16/2021,6.72,668.0,459.0,3.15,25.0,,222.0,10.0,1.35,0.0,1.202,,0.17,8.0,0.0,,5.0,0.0,0.0,POINT (659320 216206)
50,Amagalimojong Village,Karamoja,10-Jun-22,10,116.5,106,78-80,103-105,,,0.5,1.16667,,,Clay,Granite,34.44,2,663111,210737,1044,1/28/2022,7.3,304.0,773.0,4.91,0.0,,708.0,16.0,0.09,0.03,0.06,,0.0,35.0,4.0,,20.0,1.0,20.0,POINT (663111 210737)
51,Nadekel Village,Karamoja,22-Jun-23,18,66,48,38-41,45-46,51-54,,0.25,0.37,1.81,,Clay,Granite,12.46,1.17,671567,203081,1105,11/5/2022,6.84,1121.0,558.0,3.0,,660.3,277.1,2.59,0.52,0.004,0.02,,0.61,,1.0,,,0.003,43.0,POINT (671567 203081)
52,Nayonai-Angikalio Village Handpump,Karamoja,19-Nov-20,2,91.9,90,37-50,,,,,,,,,Granite,21.52,0.166667,674957,226857,,3/20/2021,6.8,1765.0,1236.0,1.56,2.0,350.0,640.0,390.0,0.02,50.2,0.4,,0.73,225.0,1.0,,14.0,0.1,75.0,POINT (674957 226857)
53,Apeded Village,Karamoja,1-Mar-17,18,59.3,42,26,39-40,47,,,,,,Clay,,14.71,1.119444,681612,198732,1183,11/24/2016,7.35,530.0,340.0,1.0,6.0,225.0,202.0,32.0,0.02,,0.021,,0.1,15.0,,,0.0,,,POINT (681612 198732)
54,Lomuchurus Village,Karamoja,7-Jun-20,29,64.3,35,37-42,49-59,,,,,,,Quartzite,Granite,5.7,1.38889,672762,672762,,3/10/2020,6.97,219.0,182.0,2.4,23.0,76.0,64.0,5.0,0.08,,0.058,,0.35,0.0,,,0.0,0.0,,POINT (672762 672762)
55,Aoyareng Village (SUCCESS),Karamoja,22-Jul-20,6,84,78,27-28,30-33,39-41,55-56,0.181,0.242,0.172,0.114,,Granite,17.37,0.8097,665485,207606,1094,7/21/2022,6.62,909.0,485.3,,,422.8,268.2,10.35,2.37,0.001,0.003,,0.29,3.0,,,,0.02,,POINT (665485 207606)
56,Looi Village,Karamoja,2-Mar-20,20,60.3,40,32-35,44,,,1.1111,1.9444,,,,,7.28,3.33333,671746,210081,,1/29/2020,6.48,169.0,110.3,2.36,15.0,70.0,64.0,3.0,0.0,,0.14,,0.12,0.0,,,0.0,0.0,,POINT (671746 210081)
57,Aoyalira Village,Karamoja,30-Jun-20,3,123.9,121,27-31,80-90,110-119,,,,,,,Granite,7.6,0.944444,673533,195584,1132,8/24/2021,8.6,625.0,438.0,9.98,,,98.0,4.0,0.3,,0.04,,0.82,,,,14.0,,46.0,POINT (673533 195584)
58,Loperot Village,Karamoja,4-Jun-20,8,64.3,56,40-62,,,,,,,,,Granite,2.27,4.16667,678381,193316,,3/10/2020,6.89,215.0,184.0,2.3,24.0,74.0,66.0,3.0,0.07,,0.039,,0.36,0.0,,,0.0,0.0,,POINT (678381 193316)
59,Nakuluny Village,Karamoja,1-Feb-17,8,68.8,61,24-26,32,49-50,,,,,,Clay,,2.22,1.36111,672521,194219,1128,11/24/2016,7.34,450.0,330.0,1.0,7.0,224.0,205.0,32.6,0.02,,0.03,,0.15,25.0,,,0.0,,,POINT (672521 194219)
60,Lokiyengunet Village,Karamoja,1-Feb-17,20,59.34,30,28,34,43,,,,,,Clay,,4.36,1.77778,676700,198790,1132,11/24/2016,7.3,418.0,340.0,2.0,8.0,230.0,210.0,35.0,0.01,,0.02,,0.17,32.0,,,0.0,,,POINT (676700 198790)
61,Kanangakinoi Village,Karamoja,1-Mar-17,7,73.32,66,,,,,,,,,Clay,,27.85,0.694444,663317,209690,1105,11/24/2016,7.38,582.0,328.0,1.0,11.0,294.0,240.0,36.8,0.01,,0.0,,0.16,11.0,,,0.0,,,POINT (663317 209690)
62,Nabukut Village,Karamoja,1-Feb-17,17,64.05,47,30-31,39-40,,,,,,,"Sand, Clay",,4.89,1.125,670002,210372,1109,11/24/2016,7.38,546.0,368.0,1.0,9.0,,230.0,36.4,0.03,,0.024,,0.12,18.0,,,0.0,,,POINT (670002 210372)
63,Kobeyon Village,Karamoja,1-Feb-17,12,59.5,47,24-26,30,34-36,38-40,,,,,Clay,,4.26,2.41667,668047,203646,1096,11/24/2016,7.41,623.0,308.0,1.0,10.0,264.0,198.0,35.2,0.01,,0.02,,0.14,20.0,,,0.0,,,POINT (668047 203646)
64,Ajokokipi Village,Nakapiripirit,20-Jul-22,10,70,60,34-35,38-39,43-44,50-53,0.14,0.26,0.17,0.83,Clay,Quartzite,18.77,2.18,672700,206440,1117,3/23/2022,7.5,730.0,511.0,59.9,115.0,215.0,240.0,13.0,5.7,,0.39,,0.38,,,,,,,POINT (672700 206440)
65,Napongae Village - North Test,Karamoja,In-Process,6,72,66,15-17,20-23,27-28,39-40,0.85,0.21,0.61,0.15,Sandy Clay,Granite,2.75,2.28,671917,220619,1161,7/21/2023,7.18,2140.0,1149.0,1.0,,530.1,740.6,329.9,2.1,,,,,172.0,,,1.0,0.353,,POINT (671917 220619)
66,Okutot Village,Karamoja,In-Process,6,90,84,21-23,40-42,50-51,60-64,0.14,0.3,0.03,0.14,Sandy Clay,Quartzite and Granite,20.06,0.68,664873,215695,1117,1/13/2023,6.42,701.0,430.0,,,383.8,325.6,7.0,1.22,,0.02,,0.42,,,,,0.006,,POINT (664873 215695)
67,Moru Angamion Village,Karamoja,In-Process,6,72,66,51-52,,,,0.75,,,,Clay,Granite,29.64,1.33333,664709,213402,1119,11/18/2022,6.39,1385.0,736.0,4.0,,499.7,566.9,86.96,14.5,0.016,0.01,,0.44,37.0,4.0,,3.8,0.017,6.0,POINT (664709 213402)
68,Lokitela Lokwa Village,Nakapiripirit,In-Process,6,72,66,21-24,27-28,39-40,54-56,1.61,0.26,0.21,0.17,Thick Clay,Granite,5.07,2.27,674433,193021,1118,6/13/2023,7.67,936.0,498.0,16.0,3.0,480.7,74.66,12.0,0.99,0.001,0.03,,0.37,,,,16.0,,,POINT (674433 193021)
69,Lodoket Angitome Village,Nakapiripirit,In-Process,6,90,84,36-38,45-46,57,65,0.39,0.14,0.06,0.06,Brown Clay,Granite,13.83,0.69,687566,204158,1261,6/29/2023,7.65,1458.0,773.0,3.0,,509.2,291.2,79.98,28.4,0.041,,,,11.0,,,3.0,0.004,,POINT (687566 204158)
70,Nasinyonoit C Village,Nabilatuk,In-Process,12,66,54,39-40,46-47,58-59,,4.17,1.39,0.56,,Sandy Clay,Granite,16.79,8.94,666181,218247,1123,6/7/2023,7.46,768.0,406.0,,,399.0,296.3,8.0,1.17,0.001,,,0.53,21.0,,,,,,POINT (666181 218247)
71,Napongae Village - South Test,Karamoja,In-Process,6,60,44,15-18,20-22,38,47,1.53,2.22,0.08,0.056,Clay,Granite,9.67,3.3,671351,220976,1133,5/24/2023,7.55,2230.0,1200.0,2.0,,456.3,755.6,259.9,0.72,0.001,,,0.63,150.0,,,,0.444,,POINT (671351 220976)
