Village,District,Date_Completed,Depth_of_overburden,Total_Depth,Depth_drilled_in_bedrock,BH Depth_1,BH Depth_2,BH Depth_3,BH Depth_4,Yield_L/s_1,Yield_L/s_2,Yield_L/s_3,Yield_L/s_4,Lithology_1,Lithology_2,Static_Water_Level,Stabilized_discharge(L/s),Altitude_(m),Date_Lab,Ph,Electrical Conductivity (EC),Total dissolved solids,Turbidity,Colour,Alkalinity,Hardness,Chloride,Nitrate,Nitrite,Iron,Copper,Flouride,Sulphate,E.coli,Number,Suspended solids (total),Manganese,Total Coliforms,Nitrate_below_threshold,Nitrate_above_threshold,Ecoli_below_threshold,Ecoli_above_threshold,lat,long
Nakwanga Village,Karamoja,19-Aug-22,28,100.8,82,24-30,50-58,72-76,,2.77778,0.416667,0.361111,,,Hard Granite,15.53,0.777778,1044.0,1/19/2022,7.4,1070.0,589.0,0.94,0.0,,240.0,27.5,0.0,0.0,44.0,,0.0,0.0,0.0,,3.0,0.0,12.0,0.0,,0.0,,1.79525223670794,34.61196804885339
Lokaala Village,Karamoja,22-Apr-23,12,72.0,60,30,35-36,39-40,45-46,0.63,0.178,1.619,0.964,Clay,Quartzite,5.6,4.53,1170.0,6/10/2022,7.9,983.0,688.0,0.16,,255.0,155.0,9.0,0.9,,,,0.59,,0.0,,,,0.0,0.9,,0.0,,2.0375447881473923,34.5612364303723
Lokibui Village,Karamoja,17-Dec-22,18,60.0,42,21-23,28-30,35-36,39,1.167,0.861,0.417,0.361,Clay,Granite,12.52,2.0,1172.0,10/19/2022,6.83,352.0,229.0,,,159.6,118.9,5.62,3.89,,0.03,,0.17,2.0,12.0,,,0.001,110.0,3.89,,,12.0,1.7911126286282109,34.619486979681604
Nayonai Angikalio B Village,Karamoja,26-Sep-22,6,70.0,64,28-31,40,51-54,62-65,0.9,0.006,0.119,0.2,Clay,Quartzite,16.87,1.25,1146.0,7/8/2022,6.99,1813.0,1227.0,1.0,,456.0,,703.3,23.01,0.573,0.001,,0.65,196.0,12.0,,1.0,0.006,53.0,,23.01,,12.0,2.0514218277586522,34.51995342076018
Naror Village,Karamoja,18-Nov-22,18,62.0,44,28-30,35-36,39-41,44-46,0.23,0.66,0.97,0.56,Clay,Quartzite,19.39,2.43,1129.0,9/12/2022,6.33,726.0,386.0,,,384.0,276.0,10.0,0.44,0.001,0.001,,0.37,,,,,0.001,9.0,0.44,,,,1.9111965831428501,34.5774503069715
Ajokolup Village,Karamoja,5-Jul-22,10,70.0,60,27-28,39-40,43-44,53,0.69,0.53,0.5,0.42,Clay,Granite,10.77,1.56,1146.0,3/11/2022,7.4,1010.0,584.0,3.06,0.0,,384.0,10.0,0.06,0.0,0.03,,0.0,38.0,0.0,,0.0,1.0,10.0,0.06,,0.0,,1.9836683598351248,34.54455597551451
Kogulepo Village,Karamoja,1-Dec-21,2,124.0,122,44,56-65,88,102-114,,,,,,Granite,27.9,0.67472222,1099.0,9/16/2021,6.72,668.0,459.0,3.15,25.0,,222.0,10.0,1.35,0.0,1.202,,0.17,8.0,0.0,,5.0,0.0,0.0,1.35,,0.0,,1.955460950692586,34.43244740118221
Amagalimojong Village,Karamoja,10-Jun-22,10,116.5,106,78-80,103-105,,,0.5,1.16667,,,Clay,Granite,34.44,2.0,1044.0,1/28/2022,7.3,304.0,773.0,4.91,0.0,,708.0,16.0,0.09,0.03,0.06,,0.0,35.0,4.0,,20.0,1.0,20.0,0.09,,,4.0,1.9059684673996378,34.46648249631735
Nadekel Village,Karamoja,22-Jun-23,18,66.0,48,38-41,45-46,51-54,,0.25,0.37,1.81,,Clay,Granite,12.46,1.17,1105.0,11/5/2022,6.84,1121.0,558.0,3.0,,660.3,277.1,2.59,0.52,0.004,0.02,,0.61,,1.0,,,0.003,43.0,0.52,,,1.0,1.8366614386110753,34.542429314877246
Nayonai-Angikalio Village Handpump,Karamoja,19-Nov-20,2,91.9,90,37-50,,,,,,,,,Granite,21.52,0.166667,,3/20/2021,6.8,1765.0,1236.0,1.56,2.0,350.0,640.0,390.0,0.02,50.2,0.4,,0.73,225.0,1.0,,14.0,0.1,75.0,0.02,,,1.0,2.05165955502671,34.57309770111274
Apeded Village,Karamoja,1-Mar-17,18,59.3,42,26,39-40,47,,,,,,Clay,,14.71,1.119444,1183.0,11/24/2016,7.35,530.0,340.0,1.0,6.0,225.0,202.0,32.0,0.02,,0.021,,0.1,15.0,,,0.0,,,0.02,,,,1.7972504554020736,34.63267704616743
Lomuchurus Village,Karamoja,7-Jun-20,29,64.3,35,37-42,49-59,,,,,,,Quartzite,Granite,5.7,1.38889,,3/10/2020,6.97,219.0,182.0,2.4,23.0,76.0,64.0,5.0,0.08,,0.058,,0.35,0.0,,,0.0,0.0,,0.08,,,,6.0842023882060925,34.56111448300191
Aoyareng Village (SUCCESS),Karamoja,22-Jul-20,6,84.0,78,27-28,30-33,39-41,55-56,0.181,0.242,0.172,0.114,,Granite,17.37,0.8097,1094.0,7/21/2022,6.62,909.0,485.3,,,422.8,268.2,10.35,2.37,0.001,0.003,,0.29,3.0,,,,0.02,,2.37,,,,1.8776328376335427,34.48779749333959
Looi Village,Karamoja,2-Mar-20,20,60.3,40,32-35,44,,,1.1111,1.9444,,,,,7.28,3.33333,,1/29/2020,6.48,169.0,110.3,2.36,15.0,70.0,64.0,3.0,0.0,,0.14,,0.12,0.0,,,0.0,0.0,,0.0,,,,1.8999674104336164,34.54409346952694
Aoyalira Village,Karamoja,30-Jun-20,3,123.9,121,27-31,80-90,110-119,,,,,,,Granite,7.6,0.944444,1132.0,8/24/2021,8.6,625.0,438.0,9.98,,,98.0,4.0,0.3,,0.04,,0.82,,,,14.0,,46.0,0.3,,,,1.768844279844847,34.56004202743298
Loperot Village,Karamoja,4-Jun-20,8,64.3,56,40-62,,,,,,,,,Granite,2.27,4.16667,,3/10/2020,6.89,215.0,184.0,2.3,24.0,74.0,66.0,3.0,0.07,,0.039,,0.36,0.0,,,0.0,0.0,,0.07,,,,1.7482958840117244,34.603596174993356
Nakuluny Village,Karamoja,1-Feb-17,8,68.8,61,24-26,32,49-50,,,,,,Clay,,2.22,1.36111,1128.0,11/24/2016,7.34,450.0,330.0,1.0,7.0,224.0,205.0,32.6,0.02,,0.03,,0.15,25.0,,,0.0,,,0.02,,,,1.7565070402170166,34.550936290262754
